country,OBFCM_ReportingPeriod,n_vehicles,mean_eds,period_number,eds_change,eds_change_pct
AT,2022,2375,32.02516303418412,2,0.3723301346416221,1.176293243082845
AT,2023,3892,28.733463143398914,3,-3.2916998907852033,-10.278479729428998
BE,2022,6722,32.393422535637484,2,-3.2948345796159018,-9.232265305014485
BE,2023,10335,28.569804996359522,3,-3.8236175392779614,-11.803684945829437
BG,2022,62,36.9067377298331,2,-7.03617547425214,-16.01208240694886
BG,2023,172,30.513108930777733,3,-6.393628799055364,-17.323744097509746
CY,2022,8,51.4431846421792,2,51.000706766073,11526.159729132498
CY,2023,59,42.55287202287225,3,-8.890312619306947,-17.28180842835616
CZ,2022,350,32.43732474327358,2,-4.511271440830164,-12.209588202896411
CZ,2023,627,31.673350530297746,3,-0.7639742129758318,-2.3552318787764848
DE,2022,47053,31.857042987920753,2,0.7301267807469607,2.345644444465363
DE,2023,49632,29.85229778353025,3,-2.0047452043905025,-6.292941894044097
DK,2022,5674,33.687548559102076,2,-0.8902714922527935,-2.5746894712580635
DK,2023,5436,25.65632056346638,3,-8.031227995635696,-23.84034558509224
EE,2022,26,28.010765194089927,2,0.48226493350755106,1.7518750710807833
EE,2023,69,30.367827136345674,3,2.357061942255747,8.414843100227303
ES,2022,5357,31.183833421097543,2,0.6419277602276452,2.101793409211132
ES,2023,6007,31.596777025155042,3,0.4129436040574994,1.324223351507903
FI,2022,2487,39.06306301064623,2,-0.9825821361780243,-2.4536554039158642
FI,2023,2380,31.86661295040126,3,-7.19645006024497,-18.42264662728484
FR,2022,17191,28.71363754030191,2,-1.5466241489369352,-5.11107327762121
FR,2023,19034,30.854798388963307,3,2.1411608486613964,7.456947402279159
GR,2022,586,30.086994666285328,2,-2.8437806098603673,-8.63563212834633
GR,2023,834,30.643089199471014,3,0.5560945331856857,1.8482887352282817
HR,2022,72,24.313527649838118,2,-5.661350623121649,-18.886984532740318
HR,2023,173,27.05011567893678,3,2.7365880290986624,11.255413317684004
HU,2022,452,32.80425349984776,2,-0.47182478581311216,-1.4179098322906278
HU,2023,801,32.07399298978133,3,-0.7302605100664294,-2.2261153117531496
IE,2022,1116,36.37837210874876,2,-1.4064966389485818,-3.722380639563014
IE,2023,1475,41.32847569173434,3,4.950103582985577,13.607270738195314
IS,2022,309,28.678889388178124,2,7.915754997040455,38.124084966762716
IS,2023,410,21.693738319675305,3,-6.9851510685028195,-24.356421108071938
IT,2022,8024,27.600411411863323,2,-2.7216068814950596,-8.975678515737819
IT,2023,12098,26.247858244709295,3,-1.3525531671540278,-4.900481905761259
LT,2022,45,29.441124681430733,2,-2.0689379522252977,-6.565959504045722
LT,2023,126,31.208480446883307,3,1.7673557654525744,6.003017155683902
LU,2022,633,33.11756195102874,2,-2.7791272209601487,-7.742015447844626
LU,2023,542,30.41601081482431,3,-2.7015511362044293,-8.157457786896389
LV,2023,76,29.07157217439196,2,-6.582051282278428,-18.46110056745719
MT,2022,125,50.04405368456252,2,-18.965090621021993,-27.48199649750947
MT,2023,129,45.74554837416002,3,-4.298505310402497,-8.589442688829363
NL,2022,4605,31.01167299594521,2,0.8915559641392008,2.9600016600126167
NL,2023,5215,27.382054883308744,3,-3.629618112636468,-11.704038389386609
NO,2022,1655,30.77601622164667,2,9.924057499932484,47.59292703566532
NO,2023,2494,28.154192261522482,3,-2.621823960124189,-8.519049188309493
PL,2022,1056,29.79811254288391,2,1.585025935823559,5.618052210660654
PL,2023,2689,30.697928865088315,3,0.8998163222044049,3.0197091205338444
PT,2022,1967,34.27859355152815,2,1.5700775301277403,4.800210223846523
PT,2023,3006,35.5903253480527,3,1.3117317965245547,3.826679162179562
RO,2022,255,29.60812998950658,2,-5.622210255814771,-15.958433034325889
RO,2023,484,26.99839215021622,3,-2.6097378392903607,-8.814260948649165
SE,2022,8295,33.332988909304945,2,-0.5967009563614099,-1.7586395829842667
SE,2023,7714,29.403067408141077,3,-3.929921501163868,-11.789886325095875
SI,2022,94,31.07345977988641,2,20.068064101776237,182.3475019775235
SI,2023,133,31.995484127877567,3,0.9220243479911581,2.96724070805909
SK,2022,132,34.41809841852829,2,4.268743842986545,14.158657467412276
SK,2023,335,33.41621263816213,3,-1.001885780366159,-2.9109271761127107
