country,region,n_vehicles,mean_energy_into_battery,mean_energy_per_km,mean_charging_intensity,mean_eds
AT,Western,6389,1147.549750758745,0.07090154463978354,48.95677623663836,30.179745156501642
BE,Western,17098,1590.9307481007772,0.0737163420208101,70.74494714547606,30.263267193312206
BG,Central_Eastern,220,1412.9722727272729,0.08387799524938667,55.62774575734301,32.16531723660548
CY,Southern,66,1632.4763518032617,0.07835360804168029,85.16272307189783,43.414800131629
CZ,Central_Eastern,985,1343.6235532994926,0.08430801832953659,55.743061431439976,32.31445212343884
DE,Western,100676,998.0050261404513,0.07309319132847313,45.093445964219896,30.855980218062655
DK,Northern,11425,1265.1254107247012,0.06816939312778046,64.59483579136015,30.10412136821022
EE,Northern,97,1033.5838250223162,0.0776145024384431,47.29032508193161,29.78130908603837
ES,Southern,11454,1082.2625831961466,0.06823545182773423,53.278583421904166,31.33590379561378
FI,Northern,5086,1777.455290964846,0.09288535973194456,81.20361992485223,35.83753359930758
FR,Western,36624,1067.2550525110764,0.06913635221354048,49.20596002589867,29.750904425592307
GR,Southern,1463,1080.8519380717566,0.06684589839859613,46.92772489280653,30.499553624621235
HR,Central_Eastern,251,1071.367330677291,0.057792772587147316,41.30563751691997,26.33023341902568
HU,Central_Eastern,1240,1494.0727566884818,0.08200493701750083,61.40577771571135,32.42539186892187
IE,Northern,2667,1992.6712868658872,0.09859062526546805,87.53413864016302,39.158932070118
IS,Other,654,1138.8355428004757,0.08756347306221192,41.96994160093398,24.439989166715524
IT,Southern,20989,767.0127079723486,0.05398674233524099,37.60189778173541,26.903157625072076
LT,Northern,172,1352.5331395348837,0.08785662167430612,56.22128441057553,30.477471083630956
LU,Western,1181,1446.3364098221844,0.07715796703247438,62.307593948399465,32.28279039399732
LV,Northern,85,897.9035294117647,0.05929169966746233,44.351012316977766,30.253330446500346
MT,Southern,253,963.603557312253,0.11532548023497918,42.66135789350568,48.75813633722828
NL,Western,10179,1470.79045056145,0.07115631160360955,66.94204820204733,29.15848879898432
NO,Other,4147,1098.637945373811,0.06994030356171516,54.51235613901654,29.20608931221387
PL,Central_Eastern,3738,1241.5920890823465,0.07445807501635276,54.336466995632684,30.401693490069217
PT,Southern,4982,1528.2893804282905,0.075345944683948,73.15543039422936,34.87765610420929
RO,Central_Eastern,797,1304.652991694235,0.07836344650579546,48.8036039393201,28.534060831341893
SE,Northern,16686,1420.2072783508343,0.07751685691483244,66.5669926024422,31.589724715139173
SI,Central_Eastern,198,1518.0487660990207,0.07925248886836922,61.61046381952037,30.916049120258613
SK,Central_Eastern,441,1755.755328798186,0.09377301418227177,71.27361743865963,33.992844156452286
