Model,mass,aer,n_vehicles,mean_eds,sd_eds,mean_energy,min_eds,max_eds,eds_range
MAZDA CX-60,2245,63,8942,33.18563985009488,17.612670156212474,29.667823974641628,0.4630162567310029,92.30482433322928,91.84180807649827
TOYOTA RAV4,2162,75,5507,39.110684061869165,23.396016095881944,17.618283066229257,0,95.70562363474288,95.70562363474288
KUGA,1997,56,3998,37.6009335430571,20.981652751792076,17.92668378243067,0,97.8304573630424,97.8304573630424
MG EHS PLUG-IN HYBRID,1923,52,3603,16.903232846306526,18.56980704090844,22.902531075439107,0.06496498047866028,86.40038040893963,86.33541542846096
KUGA,1997,72,3600,40.25218019103691,21.208989721316446,18.83908904675765,0.02121250689406474,96.07302579182748,96.05181328493342
SPORTAGE,2081,70,3207,29.110632743288356,16.500404058582035,20.812239275514777,0.10795869097121298,97.26619122166171,97.1582325306905
KUGA,1926,71,2451,34.646035987727956,22.428669837346302,19.41185469761357,0.0540724067250984,93.9645596403068,93.9104872335817
KUGA,1943,71,1737,39.912841519208534,21.057384194178344,19.254928804923175,0.18074494371739727,93.36307191512448,93.18232697140708
WRANGLER UNLIMITED,2519,44,1559,18.165003043825156,17.65097713602356,30.72435011070621,0,85.56405353728489,85.56405353728489
CEED,1745,50,1367,28.005746022630625,21.488811867878653,13.208881298574715,0,84.7194487830918,84.7194487830918
CX-60,2245,63,1306,31.4895901662393,16.468843338418733,29.159163015149236,0.9114400386079158,82.47085186092924,81.55941182232132
3008,1929,62,1245,36.04136053580247,18.202108429147916,19.223325642950066,0.14392372042817309,91.17336152219872,91.02943780177054
XCEED,1746,42,1135,30.14826507066375,22.588870151969946,14.50021286830027,0.06810000972857282,98.04482751058184,97.97672750085327
WRANGLER UNLIMITED,2602,45,1059,17.225464602875622,17.43527761142452,33.980504217690495,0,79.48113207547169,79.48113207547169
KUGA,1926,64,1055,34.616947758806056,22.223687969721745,17.782326607555788,0.03246274162608824,91.86667773994408,91.83421499831799
MG RX6 PLUG-IN HYBRID,1923,52,1048,24.44678512180014,17.467647480012403,21.89601045907718,0.5945645908498964,87.33351435747743,86.73894976662753
COMPASS,2043,47,940,14.889602944675403,18.515202365419505,21.71781504294736,0,94.3510104435101,94.3510104435101
KUGA,1943,63,873,37.761957070753596,21.544003325590502,17.45536314360636,0.6493201098171087,91.02855867916108,90.37923856934397
SORENTO,2271,57,847,26.121904093341467,16.087339585095492,22.54732557276167,0.1456765221487192,92.47938185603331,92.3337053338846
KUGA,1935,71,836,38.37137049267057,20.6135243330541,19.804269627826876,0.09049823391325332,87.49657815494115,87.4060799210279
