vehicle_body,region,n_vehicles,mean_eds,mean_energy
SUV/CROSSOVER,Western,109822,30.468714836581512,23.870608546075218
SUV/CROSSOVER,Southern,30553,28.32592179742819,22.403779298118454
HATCHBACK,Western,22961,33.95016880988326,19.421564077368004
SEDAN,Western,22315,27.789772893380217,22.323765893467876
SUV/CROSSOVER,Northern,20204,33.69385783828993,22.110999343311924
STATIONWAGON,Western,9790,28.87573114173908,21.022554208429646
MPV,Western,6727,38.51002062996051,20.932752278131613
SUV/CROSSOVER,Central_Eastern,6104,31.930856345458757,25.520983612836982
SEDAN,Northern,5895,29.568559038853714,21.581508181432365
SUV/CROSSOVER,Other,3967,28.62728365740222,20.754894465111516
HATCHBACK,Southern,3636,36.61983228445218,18.960630522082997
BESTELWAGEN,Western,3579,16.305417299165555,22.96803316240002
STATIONWAGON,Northern,2873,29.90414248670171,19.086832038790423
SEDAN,Southern,1917,31.850185677111682,21.494766922856336
HATCHBACK,Northern,1836,41.30885238324173,19.31170684973483
STATIONWAGON,Southern,1705,33.422960583262295,20.948712153019773
MPV,Southern,1348,34.37202973032545,20.080729632865506
MPV,Northern,1050,35.33962856264073,21.221194377885904
BESTELWAGEN,Northern,936,23.899025539411,21.734027495425156
SEDAN,Central_Eastern,811,27.07067104977328,24.304005636460246
BESTELWAGEN,Southern,663,27.2915356916494,21.99256469391744
COUPÉ,Western,603,11.414268466023463,51.01220338282592
HATCHBACK,Central_Eastern,536,31.429438752486895,21.177990050609917
HATCHBACK,Other,369,31.741800787753483,17.75806510646876
SEDAN,Other,304,28.42078240490426,22.03228972017318
STATIONWAGON,Central_Eastern,302,27.507721363889374,18.96712481210518
MPV,Central_Eastern,225,31.10958397583353,22.59618179006161
COUPÉ,Southern,145,12.374277827088072,50.81218791823775
MPV,Other,142,29.203137144282252,20.985956676953514
BESTELWAGEN,Other,132,15.232955218866405,21.27933524455986
COUPÉ,Central_Eastern,93,9.59795554544511,55.30066201486008
COUPÉ,Northern,48,9.700765524941822,47.19216665567575
STATIONWAGON,Other,23,12.807426443434746,12.810811747054458
BESTELWAGEN,Central_Eastern,19,12.977343594867545,25.067565596618216
BUS,Western,5,51.67229730418438,27.639882314215328
BUS,Southern,4,31.252473616563975,28.64593496892289
COUPÉ,Other,2,8.18191539063828,47.670663349243654
