variable,importance_mse,importance_purity
eds,209.4949028394959,226425.14216075852
region_numeric,118.9497011669062,39570.346258025864
aer,59.22816288441825,249497.04261665838
mass,44.32843118899164,743247.3254010876
battery_capacity,38.83636954522991,166050.9729771936
registration_year,38.58832049297495,25926.01263899975
engine_power,31.372272923239553,629465.1329371891
engine_displacement,26.22451995365679,281970.03215696814
vehicle_length,25.074241838295933,355067.8981247002
fuel_type_numeric,10.676647323461838,4151.950830396944
