var,rel.inf
mass,42.602241250449865
engine_power,27.894006829059094
aer_to_mass,6.453978790295794
vehicle_length,4.242172297444421
power_to_weight,4.083645542782448
engine_displacement,4.071429345141887
aer,2.4986170488899413
mass_aer_interaction,2.3033037798783633
eds,1.714163195178135
eds_aer_interaction,1.345879931852632
range_efficiency,0.7949533425620872
region_numeric,0.7539248876981897
battery_to_weight,0.6096636964841101
registration_year,0.3207933920876303
eds_mass_interaction,0.17902718081015032
battery_capacity,0.13219948938527157
fuel_type_numeric,0
energy_density,0
